source_table,source_field,source_code,target_table,target_field,target_code,target_desc,target_domain
nodes,Sewer_Use,PVTSTM,SewerStormwater_Nodes,SEWERTYPE,STM,,domain_trww_sewertype
nodes,Sewer_Use,RCOM,SewerStormwater_Nodes,SEWERTYPE,COM,,domain_trww_sewertype
nodes,Sewer_Use,SAN,SewerStormwater_Nodes,SEWERTYPE,SAN,,domain_trww_sewertype
nodes,Sewer_Use,STM,SewerStormwater_Nodes,SEWERTYPE,STM,,domain_trww_sewertype
nodes,Sewer_Use,UND,SewerStormwater_Nodes,SEWERTYPE,UK,,domain_trww_sewertype
nodes,Status, ,SewerStormwater_Nodes,STATUS_PT,,,
nodes,Status,ABN,SewerStormwater_Nodes,STATUS_PT,ABND,,
nodes,Status,PVT,SewerStormwater_Nodes,STATUS_PT,,,
nodes,Sub_Type, ,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Node_Type,ADC,SewerStormwater_Nodes,MUNI_TYP_P,,,domain_trww_muni_pt_types
nodes,Sub_Type,Backflow Preventer,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Backwater Valve,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Node_Type,CB,SewerStormwater_Nodes,MUNI_TYP_P,CB,,domain_trww_muni_pt_types
nodes,Sub_Type,CB 2005,SewerStormwater_Nodes,MUN_SUB_PT,CB,,domain_trww_muni_pt_types
nodes,Node_Type,CL,SewerStormwater_Nodes,MUNI_TYP_P,CL,,
nodes,Sub_Type,Crown-A,SewerStormwater_Nodes,MUN_SUB_PT,CRWN-A,,domain_trww_muni_pt_types
nodes,Sub_Type,Crown-A; FT,SewerStormwater_Nodes,MUN_SUB_PT,CRWN-AFT,,domain_trww_muni_pt_types
nodes,Sub_Type,Crown-V,SewerStormwater_Nodes,MUN_SUB_PT,CRWN-V,,domain_trww_muni_pt_types
nodes,Sub_Type,CSO,SewerStormwater_Nodes,MUN_SUB_PT,DP,,domain_trww_muni_pt_types
nodes,Node_Type,DC,SewerStormwater_Nodes,MUNI_TYP_P,DC,,domain_trww_muni_pt_types
nodes,Sub_Type,Drop,SewerStormwater_Nodes,MUN_SUB_PT,D,,domain_trww_muni_pt_types
nodes,Node_Type,EC,SewerStormwater_Nodes,MUNI_TYP_P,EOP,,domain_trww_muni_pt_types
nodes,Sub_Type,END,SewerStormwater_Nodes,MUN_SUB_PT,EOP,,domain_trww_muni_pt_types
nodes,Node_Type,EQ,SewerStormwater_Nodes,MUNI_TYP_P,EQ,,domain_trww_muni_pt_types
nodes,Node_Type,FD,SewerStormwater_Nodes,MUNI_TYP_P,FD,,domain_trww_muni_pt_types
nodes,Sub_Type,FT,SewerStormwater_Nodes,MUN_SUB_PT,FT,,domain_trww_muni_pt_types
nodes,Node_Type,HW,SewerStormwater_Nodes,MUNI_TYP_P,HDW,,domain_trww_muni_pt_types
nodes,Node_Type,IN,SewerStormwater_Nodes,MUNI_TYP_P,IN,Inlet,
nodes,Node_Type,JCT,SewerStormwater_Nodes,MUNI_TYP_P,JT,,domain_trww_muni_pt_types
nodes,Node_Type,LC,SewerStormwater_Nodes,MUNI_TYP_P,LC,,domain_trww_muni_pt_types
nodes,Node_Type,LH,SewerStormwater_Nodes,MUNI_TYP_P,LH,,domain_trww_muni_pt_types
nodes,Node_Type,LJ,SewerStormwater_Nodes,MUNI_TYP_P,LJ,,domain_trww_muni_pt_types
nodes,Node_Type,M EQ,SewerStormwater_Nodes,MUNI_TYP_P,EQ,,domain_trww_muni_pt_types
nodes,Node_Type,M FD,SewerStormwater_Nodes,MUNI_TYP_P,FD,,domain_trww_muni_pt_types
nodes,Node_Type,MH,SewerStormwater_Nodes,MUNI_TYP_P,MH,,domain_trww_muni_pt_types
nodes,Node_Type,OF,SewerStormwater_Nodes,MUNI_TYP_P,OF,,domain_trww_muni_pt_types
nodes,Sub_Type,Other,SewerStormwater_Nodes,MUN_SUB_PT,UK,,domain_trww_muni_pt_types
nodes,Node_Type,PS,SewerStormwater_Nodes,MUNI_TYP_P,PS,,domain_trww_muni_pt_types
nodes,Node_Type,RD,SewerStormwater_Nodes,MUNI_TYP_P,,,domain_trww_muni_pt_types
nodes,Sub_Type,Scupper Drain,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Node_Type,SI,SewerStormwater_Nodes,MUNI_TYP_P,,,domain_trww_muni_pt_types
nodes,Sub_Type,SSO,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Stream Inflow,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Trap Manhole,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
nodes,Sub_Type,Tyep 4,SewerStormwater_Nodes,MUN_SUB_PT,,,domain_trww_muni_pt_types
