source_field,target_field,source_code,target_code,target_desc
OWNER_NAME,OWNER_NAME,Penn Hills Water Pollution Control Department,PHWP,Penn Hills Water Pollution Control Department
OWNER_NAME,OWNER_NAME,PennHills_WaterPollutionCtlDept,PHWP,Penn Hills Water Pollution Control Department
OWNER_NAME,OWNER_NAME,Water Pollution Control Department,PHWP,Penn Hills Water Pollution Control Department
OWNER_NAME,OWNER_NAME,J&Lsteel,PIND-JLST,Private - Industrial - J&L Steel
OWNER_NAME,OWNER_NAME,Private - RIDC,PIND-RIDC,Private - Industrial - RIDC
OWNER_NAME,OWNER_NAME,RIDC,PIND-RIDC,Private - Industrial - RIDC
OWNER_NAME,OWNER_NAME,Pitcairn,PITC,Pitcairn Borough
OWNER_NAME,OWNER_NAME,City of Pittsburgh,PITT,"Pittsburgh, City of"
OWNER_NAME,OWNER_NAME,City Of Pittsburgh,PITT,"Pittsburgh, City of"
OWNER_NAME,OWNER_NAME,Plum,PLUM,Plum Borough
OWNER_NAME,OWNER_NAME,Plum Borough,PLUM,Plum Borough
OWNER_NAME,OWNER_NAME,PRES,PRES,Private - Residential
OWNER_NAME,OWNER_NAME,Private - Housing Association,PRES-HA,Private - Residential - Housing Association
OWNER_NAME,OWNER_NAME,PRIV,PRIV,Private
OWNER_NAME,OWNER_NAME,PRIVATE,PRIV,Private
OWNER_NAME,OWNER_NAME,Private,PRIV,Private
OWNER_NAME,OWNER_NAME,Private ? ? ?,PRIV,Private
OWNER_NAME,OWNER_NAME,Private Owner,PRIV,Private
OWNER_NAME,OWNER_NAME,PVT,PRIV,Private
OWNER_NAME,OWNER_NAME,Pittsburgh Water and Sewer Authority,PWSA,Pittsburgh Water and Sewer Authority
OWNER_NAME,OWNER_NAME,PWSA,PWSA,Pittsburgh Water and Sewer Authority
OWNER_NAME,OWNER_NAME,Railroad,RAIL,Railroad
OWNER_NAME,OWNER_NAME,CSXrailroad,RAIL-CSX,Railroad - CSX
OWNER_NAME,OWNER_NAME,Rankin,RANK,Rankin Borough
OWNER_NAME,OWNER_NAME,Reserve,RESE,Reserve Township
OWNER_NAME,OWNER_NAME,RESERVE,RESE,Reserve Township
OWNER_NAME,OWNER_NAME,RosslynFarms,RFAR,Rosslyn Farms Borough
OWNER_NAME,OWNER_NAME,Rossyln Farms,RFAR,Rosslyn Farms Borough
OWNER_NAME,OWNER_NAME,Rossyln Farms Boroug,RFAR,Rosslyn Farms Borough
OWNER_NAME,OWNER_NAME,Rossyln Farms Borough,RFAR,Rosslyn Farms Borough
OWNER_NAME,OWNER_NAME,RossylnFarms,RFAR,Rosslyn Farms Borough
OWNER_NAME,OWNER_NAME,Robinson,ROBI,Robinson Township
OWNER_NAME,OWNER_NAME,Robinson Township,ROBI,Robinson Township
OWNER_NAME,OWNER_NAME,ROSS,ROSS,Ross Township
OWNER_NAME,OWNER_NAME,Ross,ROSS,Ross Township
OWNER_NAME,OWNER_NAME,RossMH,ROSS,Ross Township
OWNER_NAME,OWNER_NAME,RossTwp,ROSS,Ross Township
OWNER_NAME,OWNER_NAME,RobinsonRunInterceptor,RRAG,Robinson Run Advisory Group
OWNER_NAME,OWNER_NAME,Scott,SCOT,Scott Township
OWNER_NAME,OWNER_NAME,SCOTT TWP,SCOT,Scott Township
OWNER_NAME,OWNER_NAME,PF OFF,SFAY,South Fayette Township
OWNER_NAME,OWNER_NAME,South Fayette Township,SFAY,South Fayette Township
OWNER_NAME,OWNER_NAME,SouthFayette,SFAY,South Fayette Township
OWNER_NAME,OWNER_NAME,Shaler,SHAL,Shaler Township
OWNER_NAME,OWNER_NAME,SHALER,SHAL,Shaler Township
OWNER_NAME,OWNER_NAME,Shaler Township,SHAL,Shaler Township
OWNER_NAME,OWNER_NAME,Sharpsburg,SHAR,Sharpsburg Borough
OWNER_NAME,OWNER_NAME,Sharpsburg Borough,SHAR,Sharpsburg Borough
OWNER_NAME,OWNER_NAME,Stowe,STOW,Stowe Township
OWNER_NAME,OWNER_NAME,Swissvale,SWIS,Swissvale Borough
OWNER_NAME,OWNER_NAME,Swissvale Borough,SWIS,Swissvale Borough
OWNER_NAME,OWNER_NAME,Turtle Creek Borough,TCRE,Turtle Creek Borough
OWNER_NAME,OWNER_NAME,TurtleCreek,TCRE,Turtle Creek Borough
OWNER_NAME,OWNER_NAME,Thornburg,THOR,Thornburg Borough
OWNER_NAME,OWNER_NAME,Thornburg Borough,THOR,Thornburg Borough
OWNER_NAME,OWNER_NAME,Thornburgh,THOR,Thornburg Borough
OWNER_NAME,OWNER_NAME,Thornburgh Borough,THOR,Thornburg Borough
OWNER_NAME,OWNER_NAME,Trafford,TRAF,Trafford Borough
OWNER_NAME,OWNER_NAME,Trafford Borough,TRAF,Trafford Borough
OWNER_NAME,OWNER_NAME,UNKN,UNKN,Unknown Owner
OWNER_NAME,OWNER_NAME,Unknown,UNKN,Unknown Owner
OWNER_NAME,OWNER_NAME,URA,URAU,Urban Redevelopment Authority
OWNER_NAME,OWNER_NAME,Upper St. Clair Township,USCL,Upper St. Clair Township
OWNER_NAME,OWNER_NAME,UpperStClair,USCL,Upper St. Clair Township
OWNER_NAME,OWNER_NAME,Verona,VERO,Verona Borough
OWNER_NAME,OWNER_NAME,Wall,WALL,Wall Borough
OWNER_NAME,OWNER_NAME,Wall Borough,WALL,Wall Borough
OWNER_NAME,OWNER_NAME,Boiough of Whitehall,WHAL,Whitehall Borough
OWNER_NAME,OWNER_NAME,Borough of Whitehall,WHAL,Whitehall Borough
OWNER_NAME,OWNER_NAME,Whitehall,WHAL,Whitehall Borough
OWNER_NAME,OWNER_NAME,Whitehall Borough,WHAL,Whitehall Borough
OWNER_NAME,OWNER_NAME,Whitaker Borough,WHIT,Whitaker Borough
OWNER_NAME,OWNER_NAME,West Homestead Borough,WHOM,West Homestead Borough
OWNER_NAME,OWNER_NAME,WestHomestead,WHOM,West Homestead Borough
OWNER_NAME,OWNER_NAME,Wilkinsburg,WILK,Wilkinsburg Borough
OWNER_NAME,OWNER_NAME,Wilkinsburg Borough,WILK,Wilkinsburg Borough
OWNER_NAME,OWNER_NAME,Wilmerding,WILM,Wilmerding Borough
OWNER_NAME,OWNER_NAME,Wilmerding Borough,WILM,Wilmerding Borough
OWNER_NAME,OWNER_NAME,Wilkins,WILT,Wilkins Township
OWNER_NAME,OWNER_NAME,West Mifflin Borough,WMIF,West Mifflin Borough
OWNER_NAME,OWNER_NAME,WestMifflin,WMIF,West Mifflin Borough
OWNER_NAME,OWNER_NAME,WMIF,WMIF,West Mifflin Borough
OWNER_NAME,OWNER_NAME,WestMifflinSewerAuthority,WMMA,West Mifflin Sanitary Sewer Municipal Authority
OWNER_NAME,OWNER_NAME,WMMA,WMMA,West Mifflin Sanitary Sewer Municipal Authority
OWNER_NAME,OWNER_NAME,WMSSMA,WMMA,West Mifflin Sanitary Sewer Municipal Authority
OWNER_NAME,OWNER_NAME,West View Borough,WVIE,West View Borough
OWNER_NAME,OWNER_NAME,WestView,WVIE,West View Borough
OWNER_NAME,OWNER_NAME,WesternWestmoreland,WWMA,Western Westmoreland Municipal Authority
PIPE_MATL,PIPE_MATL, ,,
PIPE_MATL,PIPE_MATL,,,
PIPE_MATL,PIPE_MATL,AC,AC,asbestos cement
PIPE_MATL,PIPE_MATL,ACP,AC,asbestos cement
PIPE_MATL,PIPE_MATL,BR,BR,brick
PIPE_MATL,PIPE_MATL,Brick,BR,brick
PIPE_MATL,PIPE_MATL,BR/SN,BR-SN,brick-segmented panel
PIPE_MATL,PIPE_MATL,CAS,CAS,cast iron
PIPE_MATL,PIPE_MATL,CIP,CIP,Cured in Place
PIPE_MATL,PIPE_MATL,CIPP,CIP,Cured in Place
PIPE_MATL,PIPE_MATL,CM,CMP,corrugated metal pipe
PIPE_MATL,PIPE_MATL,CMP,CMP,corrugated metal pipe
PIPE_MATL,PIPE_MATL,CO/ST,CO/ST,concrete/steel
